query,title,url,snippet
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,ENGINEERING TECHNOLOGIES,https://ir.standex.com/download/Investor+Presentation_9.22.23_FINAL.pdf,Standex ESG Goals and Performance Reporting ... Record FY 2023 Adj. EPS of $6.70; Adj. EPS FY19-FY23 ... Standex International Corporation. ($ in ...
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,ENGINEERING TECHNOLOGIES,https://ir.standex.com/download/Barrington_Investor_Presentation_5.16.24_vF.pdf,Standex International Corporation. ($ in millions). Q3 FY24. Q3 FY23. Y/Y △%. Comments. Net sales. 177.3. 184.3. -3.8%. Organic growth: (5.7 ...
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,ENGINEERING TECHNOLOGIES,https://ir.standex.com/download/DAD_Investor+Presentation_3.8.24_vF.pdf,Standex International Corporation. ($ in millions). Q2 FY24. Q2 FY23. Y/Y △%. Comments. Net sales. 178.4. 187.8. -5.0%. Organic growth: (7.4 ...
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,ENGINEERING TECHNOLOGIES,https://ir.standex.com/download/Investor+Presentation_9.28.23_FINAL.pdf,Standex ESG Goals and Performance Reporting ... Record FY 2023 Adj. EPS of $6.70; Adj. EPS FY19-FY23 ... Standex International Corporation. ($ in ...
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,Standex Investor Presentation,https://ir.standex.com/download/Jefferies_+2022+Industrials+_Conference_Investor+Presentation_FINAL_8.5.22.pdf,"• The project with ENEL, a global energy company, is now focused on pilot plant design, which is expected to begin limited production in 2023."
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,Focused on Growth and Continued Margin Expansion,https://ir.standex.com/download/Investor+Presentation_5.18.23_FINAL.pdf,Standex ESG Goals and Performance Reporting. Our commitment to business sustainability ... Standex International Corporation. ($ in ... 3/31/2023.
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,2021 Proxy Statement,https://ir.standex.com/download/2021+Proxy+Statement+FINAL.pdf,Standex International Corporation (the “Company” or “Standex”) will ... expiring at the 2023 annual ... Standex's website at ir.standex.com/annual- ...
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,2020 Proxy Statement,https://ir.standex.com/download/2020+Proxy+Statement+FINAL.pdf,The 2020 Annual Meeting of Shareholders (the “Annual Meeting”) of Standex International Corporation (the “Company” or. “Standex”) will be ...
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,ENGINEERING TECHNOLOGIES,https://ir.standex.com/download/Investor+Presentation_9.22.23_FINAL.pdf,Standex ESG Goals and Performance Reporting ... Record FY 2023 Adj. EPS of $6.70; Adj. EPS FY19-FY23 ... Standex International Corporation. ($ in ...
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,ENGINEERING TECHNOLOGIES,https://ir.standex.com/download/Barrington_Investor_Presentation_5.16.24_vF.pdf,Standex International Corporation. ($ in millions). Q3 FY24. Q3 FY23. Y/Y △%. Comments. Net sales. 177.3. 184.3. -3.8%. Organic growth: (5.7 ...
